GenBank accession	TaxID	Organism	Description	Length	Phylum	Class	Order	Family	Genus	Genetic code	GC%	Percentage genome with GC50
NC_014337.1	561895	Candida subhashii	Candida subhashii mitochondrion, complete genome	29795	Ascomycota	Saccharomycetes	Saccharomycetales	Candida		4	52.6566	75.2525
KC993184.1	561895	Candida subhashii	Candida subhashii strain FR-392-06-SUB1 mitochondrion, complete genome	28562	Ascomycota	Saccharomycetes	Saccharomycetales	Candida		4	52.6281	76.8421
NC_022174.1	271359	Candida gigantensis	Candida gigantensis strain NRRL Y-27736 mitochondrion, complete genome	55125	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	52.1253	68.6649
MK292656.1	286115	Synchytrium endobioticum	Synchytrium endobioticum strain 01WS mitochondrion, complete genome	72938	Chytridiomycota	Chytridiomycetes	Synchytriales	Synchytriaceae	Synchytrium	16	49.6049	45.679
MK292655.1	286115	Synchytrium endobioticum	Synchytrium endobioticum strain NED01 mitochondrion, complete genome	72868	Chytridiomycota	Chytridiomycetes	Synchytriales	Synchytriaceae	Synchytrium	16	49.5863	44.5361
MK292697.1	286115	Synchytrium endobioticum	Synchytrium endobioticum strain PER03 mitochondrion, complete genome	72814	Chytridiomycota	Chytridiomycetes	Synchytriales	Synchytriaceae	Synchytrium	16	49.5533	45.567
NC_042370.1	286115	Synchytrium endobioticum	Synchytrium endobioticum strain FERA1 mitochondrion, complete genome	72775	Chytridiomycota	Chytridiomycetes	Synchytriales	Synchytriaceae	Synchytrium	16	49.5244	45.567
NC_024094.1	1232584	Magnusiomyces tetraspermus	Magnusiomyces tetrasperma mitochondrion, complete genome	44469	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Magnusiomyces	3	48.6892	48.9865
MT880591	62690	Blumeria graminis f. sp. tritici	NA	108900	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	4	48.28	52.6
NC_022144.1	658196	Glomus cerebriforme	Glomus cerebriforme voucher DAOM:227022 mitochondrion, complete genome	59633	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	4	46.7422	31.9899
MT880590	62708	Golovinomyces cichoracearum	NA	332165	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Golovinomyces	4	45.06	45.9
NC_016684.1	4874	Gigaspora margarita	Gigaspora margarita mitochondrion, complete genome	96998	Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Gigaspora	4	45.0268	17.8019
NC_016985.1	44941	Gigaspora rosea	Gigaspora rosea mitochondrion, complete genome	97350	Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Gigaspora	NA	44.8272	15.8951
MG720066.1	2250278	Usnea subgracilis	Usnea subgracilis voucher 48717 mitochondrion, complete genome	94464	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	4	43.5623	8.42607
NC_003048.1	82268	Hyaloraphidium curvatum	Hyaloraphidium curvatum mitochondrion, complete genome	29593	Chytridiomycota	Monoblepharidomycetes	Monoblepharidales	Hyaloraphidium		4	43.1641	13.198
NC_029745.1	337075	Pyronema omphalodes	Pyronema omphalodes strain CBS 100304 culture-collection CBS:100304 mitochondrion, complete genome	191189	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Pyronema	4	42.9765	23.2339
KT371477.1	27381	Funneliformis mosseae	UNVERIFIED: Funneliformis mosseae mitochondrion sequence	134581	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	4	42.8815	12.932
NC_042880.1	246404	Chytriomyces confervae	Chytriomyces confervae culture CBS:675.73 strain CBS 675.73 mitochondrion, complete genome	225604	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Chytriomyces	16	42.2611	3.52394
NC_039633.1	143885	Usnea mutabilis	Usnea mutabilis mitochondrion, complete genome	61314	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	4	41.3301	3.18627
MH725797.1	1916073	Termitomyces sp.	Termitomyces sp. strain T32 mitochondrion, complete genome	131333	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Termitomyces	4	40.925	26.9714
HF558455.1	1246992	Rhodotorula taiwanensis RS1	Rhodotorula taiwanensis RS1, complete mitochondrial genome	40392	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	4	40.8897	2.23048
MG720812.1	2233981	Usnea subfusca	UNVERIFIED: Usnea subfusca mitochondrion sequence	52486	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	4	40.5884	1.14613
NC_036340.1	5537	Rhodotorula mucilaginosa	Rhodotorula mucilaginosa strain RIT389 mitochondrion, complete genome	47023	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	4	40.4366	0.319489
NC_045397.1	1174673	Morchella importuna	Morchella importuna mitochondrion, complete genome	272238	Ascomycota	Pezizomycetes	Pezizales	Morchellaceae	Morchella	4	39.9489	17.6957
NC_001715.1	28583	Allomyces macrogynus	Allomyces macrogynus mitochondrion, complete genome	57473	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Allomyces	4	39.4917	12.7937
NC_004624.1	224130	Monoblepharella sp. JEL15	Monoblepharella sp. JEL15 mitochondrion, complete genome	60432	Chytridiomycota	Monoblepharidomycetes	Monoblepharidales	Monoblepharidaceae	Monoblepharella	NA	39.3566	7.71144
MH725799.1	1916073	Termitomyces sp.	Termitomyces sp. strain T159 mitochondrion, partial genome	157156	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Termitomyces	4	39.3333	16.3324
NC_039747.1	4979	Hannaella oryzae	Hannaella oryzae mitochondrion, complete genome	26444	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	4	39.0076	0.568182
NC_035940.1	142670	Usnea ceratina	Usnea ceratina mitochondrion, complete genome	65539	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	4	38.893	1.37615
KY321923.1	2033593	Usnea pennsylvanica	UNVERIFIED: Usnea pennsylvanica mitochondrion sequence	80874	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	4	38.8609	0.742115
NC_044971.1	36659	Volvariella volvacea	Volvariella volvacea strain v8 mitochondrion, complete genome	65668	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Volvariella	4	38.4943	11.4416
NC_039442.1	117070	Tephrocybe rancida	Tephrocybe rancida strain TRssc25 mitochondrion, complete genome	126794	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Tephrocybe	4	38.2959	17.9882
KJ459953.1	43963	Magnusiomyces magnusii	Magnusiomyces magnusii mitochondrion, complete genome	40657	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Magnusiomyces	4	38.1796	3.32103
NC_020043.1	43963	Magnusiomyces magnusii	Magnusiomyces magnusii mitochondrion, complete genome	42757	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Magnusiomyces	4	38.1778	1.75439
MF422650.1	64657	Tremella fuciformis	Tremella fuciformis isolate TF06 mitochondrion, complete genome	36670	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	4	38.1721	1.22951
MF422649.1	64657	Tremella fuciformis	Tremella fuciformis isolate TF05 mitochondrion, complete genome	49177	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	4	38.1162	1.52905
MF422648.1	64657	Tremella fuciformis	Tremella fuciformis isolate TF04 mitochondrion, complete genome	40586	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	4	37.9235	1.48148
MF422655.1	64657	Tremella fuciformis	Tremella fuciformis isolate TF12 mitochondrion, complete genome	40587	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	4	37.921	1.48148
MF422653.1	64657	Tremella fuciformis	Tremella fuciformis isolate TF09 mitochondrion, complete genome	36682	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	4	37.9044	0.409836
MF422656.1	64657	Tremella fuciformis	Tremella fuciformis isolate TF15 mitochondrion, complete genome	40104	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	4	37.8926	0
MF422651.1	64657	Tremella fuciformis	Tremella fuciformis isolate TF07 mitochondrion, complete genome	38983	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	4	37.8559	0.772201
NC_027730.1	4837	Phycomyces blakesleeanus	Phycomyces blakesleeanus strain NRRL 1555 mitochondrion, complete genome	62082	Mucoromycota	Mucoromycetes	Mucorales	Phycomycetaceae	Phycomyces	4	37.8402	13.0751
MF422654.1	64657	Tremella fuciformis	Tremella fuciformis isolate TF11 mitochondrion, complete genome	40338	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	4	37.8358	0.373134
MH725795.1	1916073	Termitomyces sp.	Termitomyces sp. strain Mi166 mitochondrion, complete genome	239317	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Termitomyces	4	37.8178	16.5517
MF422652.1	64657	Tremella fuciformis	Tremella fuciformis isolate TF08 mitochondrion, complete genome	38529	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	4	37.6953	0.78125
NC_036422.1	64657	Tremella fuciformis	Tremella fuciformis isolate TF01 mitochondrion, complete genome	35058	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	4	37.6137	0.429185
KU127234.1	588596	Rhizophagus irregularis	Rhizophagus irregularis strain C2 mitochondrion, complete genome	73979	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	4	37.5375	1.21704
NC_044121.1	181123	Austropuccinia psidii	Austropuccinia psidii isolate MF-1 mitochondrion, complete genome	93299	Basidiomycota	Pucciniomycetes	Pucciniales	Sphaerophragmiaceae	Austropuccinia	4	37.4772	1.44928
NC_044103.1	208348	Puccinia triticina	Puccinia triticina isolate HnZU18-3 mitochondrion, complete genome	77894	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	4	37.4348	1.15607
MK292693.1	109895	Powellomyces hirtus	Powellomyces hirtus mitochondrion, partial genome	160309	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Powellomyces	16	37.3702	8.5206
JX993114.1	588596	Rhizophagus irregularis	Rhizophagus irregularis isolate DAOM-234328 mitochondrion, complete genome	68994	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	4	37.2956	1.08932
JQ514223.2	588596	Rhizophagus irregularis	Rhizophagus irregularis culture-collection MUCL:46239 mitochondrion, complete genome	70820	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	4	37.2387	0.635593
NC_014489.1	588596	Rhizophagus irregularis	Glomus irregulare mitochondrion, complete genome	70800	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	4	37.2017	1.27389
NC_012056.1	4876	Rhizophagus intraradices	Glomus intraradices mitochondrion, complete genome	70606	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	4	37.1858	0.851064
KU127231.1	588596	Rhizophagus irregularis	Rhizophagus irregularis strain A1 mitochondrion, complete genome	70604	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	4	37.1759	0.638298
NC_029185.1	47032	Rhizophagus fasciculatus	Rhizophagus fasciculatus isolate DAOM240159 mitochondrion, complete genome	72251	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	4	37.1421	0.623701
KU162859.1	588596	Rhizophagus irregularis	Rhizophagus irregularis strain A4 mitochondrion, complete genome	77539	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	4	37.0879	1.16279
JX065416.1	1264587	Glomus sp. DAOM 229456	Glomus sp. DAOM 229456 mitochondrion, complete genome	87763	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	4	37.0234	0.854701
JQ514224.2	588596	Rhizophagus irregularis	Rhizophagus irregularis culture-collection MUCL:43204 mitochondrion, complete genome	87755	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	4	37.0234	0.17094
NC_022160.1	5482	Candida tropicalis	Candida tropicalis strain CBS 94 mitochondrion, complete genome	54610	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	36.9542	0.549451
MF289181.1	294747	Candida tropicalis MYA-3404	UNVERIFIED: Candida tropicalis MYA-3404 mitochondrion sequence	43581	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	36.8736	0.344828
MK292694.1	109895	Powellomyces hirtus	Powellomyces hirtus mitochondrion, partial genome	116465	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Powellomyces	16	36.7302	6.4433
KC164355.1	1281822	Glomus sp. DAOM 240422	Glomus sp. DAOM 240422 mitochondrion, complete genome	86170	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	4	36.705	0.522648
HF546977.1	1108050	Rhizoctonia solani AG-1 IB	Rhizoctonia solani strain AG-1 IB complete mitochondrial genome, isolate 7/3/14	162751	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Rhizoctonia	4	36.4123	4.0553
NC_045202.1	201230	Macrolepiota fuliginosa	Macrolepiota fuliginosa strain SLZ21 mitochondrion, complete genome	59025	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Macrolepiota	4	36.3511	13.2316
MG519331.1	5630	Laetiporus sulphureus	UNVERIFIED: Laetiporus sulphureus mitochondrion sequence	101111	Basidiomycota	Agaricomycetes	Polyporales	Laetiporaceae	Laetiporus	4	36.3017	0.74184
NC_004623.1	224131	Harpochytrium sp. JEL105	Harpochytrium sp. JEL105 mitochondrion, complete genome	24169	Chytridiomycota	Monoblepharidomycetes	Monoblepharidales	Harpochytriaceae	Harpochytrium	4	36.2236	1.86335
KY213951.1	5141	Neurospora crassa	Neurospora crassa mitochondrion, complete genome	64850	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora	4	36.1574	10.1852
NC_026614.1	367110	Neurospora crassa OR74A	Neurospora crassa OR74A mitochondrion, complete genome	64840	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora	4	36.1404	12.037
KY498477.1	5141	Neurospora crassa	Neurospora crassa mitochondrion, complete genome	64687	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora	4	36.0882	10.6729
LT558140.1	307758	Ustilago bromivora	Ustilago bromivora strain UB2112 genome assembly, organelle: mitochondrion	177540	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago	4	35.987	2.70499
NC_021436.1	456999	Rhizoctonia solani	Rhizoctonia solani strain AG3 Rhs1AP mitochondrion, complete genome	235849	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Rhizoctonia	4	35.9037	4.70738
NC_004760.1	109764	Harpochytrium sp. JEL94	Harpochytrium sp. JEL94 mitochondrion, complete genome	19473	Chytridiomycota	Monoblepharidomycetes	Monoblepharidales	Harpochytriaceae	Harpochytrium	4	35.3695	0
NC_011360.1	4808	Blastocladiella emersonii	Blastocladiella emersonii mitochondrion, complete genome	36503	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Blastocladiella	4	35.1001	1.64609
NC_004336.1	178876	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii mitochondrion, complete genome	24874	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	4	35.0061	0
NC_018792.1	235443	Cryptococcus neoformans var. grubii H99	Cryptococcus neoformans var. grubii H99 mitochondrion, complete genome	24919	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	4	34.9799	0.60241
CP022335.1	178876	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii strain KN99 mitochondrion, complete genome	24923	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	4	34.9759	0
NC_014352.1	169999	Phakopsora meibomiae	Phakopsora meibomiae mitochondrion, complete genome	32520	Basidiomycota	Pucciniomycetes	Pucciniales	Phakopsoraceae	Phakopsora	4	34.8549	0
NC_039440.1	530045	Blastosporella zonata	Blastosporella zonata strain Bzo6 mitochondrion, complete genome	200401	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Blastosporella	4	34.7954	8.00898
