Species	Introns	Length
Enec	cox1-i1	2606
Enec	cox1-i2	2439
Enec	cox1-i3	2399
Enec	cox1-i4	1910
Enec	cox1-i5	1273
Enec	cox1-i6	1323
Enec	cox1-i7	3917
Enec	cox1-i8	1836
Enec	cox1-i9	2443
Enec	cox1-i10	1327
Enec	cox1-i11	1040
Enec	cox1-i12	3494
Enec	cox1-i13	1497
Enec	cox1-i14	1378
Enec	cox1-i15	1219
Enec	cox1-i16	1071
Enec	cox1-i17	2982
Enec	cox1-i18	2571
Enec	cox1-i19	1162
Enec	cox1-i20	1152
Enec	cox1-i21	1090
Enec	cox1-i22	1775
Enec	cox2-i1	1389
Enec	cox2-i2	2644
Enec	cox2-i3	1858
Enec	cox2-i4	1838
Enec	nad4L-i1	1638
Enec	nad4L-i2	3189
Enec	nad5-i1	1529
Enec	nad5-i2	2851
Enec	nad5-i3	1278
Enec	nad5-i4	3599
Enec	nad5-i5	2135
Enec	nad5-i6	726
Enec	nad5-i7	2070
Enec	atp6-i1	4142
Enec	atp6-i2	2441
Enec	rns-i1	1388
Enec	rns-i2	1799
Enec	rns-i3	1741
Enec	rns-i4	2798
Enec	cox3-i1	1234
Enec	cox3-i2	1422
Enec	cox3-i3	1627
Enec	cox3-i4	2265
Enec	nad2-i1	2499
Enec	nad2-i2	2486
Enec	nad2-i3	1521
Enec	nad2-i4	2558
Enec	rnl-i1	1463
Enec	rnl-i2	1106
Enec	rnl-i3	1826
Enec	rnl-i4	1695
Enec	rnl-i5	3524
Enec	nad1-i1	2078
Enec	nad1-i2	714
Enec	nad1-i3	2548
Enec	nad1-i4	2183
Enec	cob-i1	2533
Enec	cob-i2	2525
Enec	cob-i3	2516
Enec	cob-i4	2536
Enec	cob-i5	1294
Enec	cob-i6	1606
Enec	cob-i7	1127
Enec	cob-i8	2567
Enec	cob-i9	2608
Enec	cob-i10	1482
Enec	nad4-i1	1309
Enec	nad4-i2	1668
Episi	cox1-i1	2520
Episi	cox1-i2	2604
Episi	cox1-i3	2137
Episi	cox1-i4	1424
Episi	cox1-i5	1949
Episi	cox1-i6	2555
Episi	cox1-i7	1783
Episi	cox1-i8	566
Episi	cox1-i9	1981
Episi	cox1-i10	1188
Episi	cox1-i11	2571
Episi	cox1-i12	1543
Episi	cox1-i13	1323
Episi	cox1-i14	1504
Episi	cox1-i15	1064
Episi	cox1-i16	1885
Episi	cox1-i17	1499
Episi	cox1-i18	1243
Episi	cox1-i19	3790
Episi	cox1-i20	1878
Episi	cox2-i1	1474
Episi	cox2-i2	2813
Episi	cox2-i3	2770
Episi	cox2-i4	1855
Episi	nad4L-i1	501
Episi	nad4L-i2	3877
Episi	nad5-i1	2044
Episi	nad5-i2	3502
Episi	nad5-i3	1470
Episi	atp6-i1	3291
Episi	atp6-i2	2449
Episi	atp6-i3	932
Episi	rns-i1	1824
Episi	rns-i2	1818
Episi	cox3-i1	1243
Episi	cox3-i2	1421
Episi	cox3-i3	1709
Episi	cox3-i4	2406
Episi	cox3-i5	2618
Episi	nad2-i1	2605
Episi	nad2-i2	2409
Episi	nad2-i3	1614
Episi	nad2-i4	2999
Episi	nad2-i5	2744
Episi	rnl-i1	1496
Episi	rnl-i2	1779
Episi	rnl-i3	3503
Episi	nad1-i1	1998
Episi	nad1-i2	3841
Episi	nad1-i3	1580
Episi	cob-i1	2703
Episi	cob-i2	2526
Episi	cob-i3	2871
Episi	cob-i4	2538
Episi	cob-i5	1557
Episi	cob-i6	1678
Episi	cob-i7	1127
Episi	cob-i8	1039
Episi	cob-i9	603
Episi	nad4-i1	1416
Episi	nad4-i2	1906
Gcic	cox1-i1	2348
Gcic	cox1-i2	1618
Gcic	cox1-i3	8757
Gcic	cox1-i4	5897
Gcic	cox1-i5	3014
Gcic	cox1-i6	1000
Gcic	cox1-i7	1350
Gcic	cox1-i8	6765
Gcic	cox2-i1	1380
Gcic	cox2-i2	7373
Gcic	cox2-i3	6393
Gcic	nad4L-i1	2079
Gcic	nad5-i1	6685
Gcic	nad5-i2	3142
Gcic	nad5-i3	4498
Gcic	nad5-i4	1691
Gcic	nad5-i5	3710
Gcic	nad5-i6	1349
Gcic	nad5-i7	1993
Gcic	atp6-i1	11024
Gcic	atp6-i2	11605
Gcic	atp6-i3	5999
Gcic	rns-i1	1718
Gcic	rns-i2	1709
Gcic	cox3-i1	710
Gcic	cox3-i2	1415
Gcic	cox3-i3	1650
Gcic	cox3-i4	6076
Gcic	nad2-i1	5154
Gcic	nad2-i2	2410
Gcic	nad2-i3	1330
Gcic	rnl-i1	669
Gcic	rnl-i2	1163
Gcic	rnl-i3	759
Gcic	rnl-i4	9159
Gcic	rnl-i5	5449
Gcic	nad1-i1	9179
Gcic	nad1-i2	3078
Gcic	nad1-i3	6278
Gcic	cob-i1	2492
Gcic	cob-i2	2396
Gcic	cob-i3	9838
Gcic	cob-i4	2305
Gcic	cob-i5	3541
Gcic	cob-i6	4440
Gcic	cob-i7	4977
Gcic	cob-i8	2431
Gcic	cob-i9	2605
Gcic	cob-i10	863
Gcic	cob-i11	2446
Gcic	cob-i12	1488
Gcic	cob-i13	4343
Gcic	nad4-i1	4953
BGT	cox1-i1	2368
BGT	cox1-i2	1345
BGT	cox1-i3	724
BGT	cox1-i4	2718
BGT	cox2-i1	4292
BGT	nad4L-i1	2533
BGT	nad5-i1	1753
BGT	nad5-i2	1495
BGT	rnl-i1	3322
BGT	nad1-i1	2033
BGT	cob-i1	3373
